,longitude,latitude,time,predicted_precip
0,-74.62500762939453,5.774997711181641,2023-09-30,77.310265
0,-74.62500762939453,5.774997711181641,2023-10-31,206.00203
0,-74.62500762939453,5.774997711181641,2023-11-30,190.9888
0,-74.62500762939453,5.774997711181641,2023-12-31,191.1135
0,-74.62500762939453,5.824996948242188,2023-09-30,86.02506
0,-74.62500762939453,5.824996948242188,2023-10-31,230.72089
0,-74.62500762939453,5.824996948242188,2023-11-30,185.97227
0,-74.62500762939453,5.824996948242188,2023-12-31,243.2177
0,-74.62500762939453,5.875,2023-09-30,86.56965
0,-74.62500762939453,5.875,2023-10-31,235.00134
0,-74.62500762939453,5.875,2023-11-30,217.97656
0,-74.62500762939453,5.875,2023-12-31,231.76605
0,-74.57500457763672,5.774997711181641,2023-09-30,80.67459
0,-74.57500457763672,5.774997711181641,2023-10-31,189.20107
0,-74.57500457763672,5.774997711181641,2023-11-30,181.2201
0,-74.57500457763672,5.774997711181641,2023-12-31,188.36668
0,-74.57500457763672,5.824996948242188,2023-09-30,81.77463
0,-74.57500457763672,5.824996948242188,2023-10-31,232.83028
0,-74.57500457763672,5.824996948242188,2023-11-30,176.69824
0,-74.57500457763672,5.824996948242188,2023-12-31,212.24983
0,-74.57500457763672,5.875,2023-09-30,94.3117
0,-74.57500457763672,5.875,2023-10-31,255.78784
0,-74.57500457763672,5.875,2023-11-30,196.16644
0,-74.57500457763672,5.875,2023-12-31,217.47946
0,-74.57500457763672,5.924999237060547,2023-09-30,95.009865
0,-74.57500457763672,5.924999237060547,2023-10-31,237.62807
0,-74.57500457763672,5.924999237060547,2023-11-30,236.79944
0,-74.57500457763672,5.924999237060547,2023-12-31,245.62207
0,-74.57500457763672,5.974998474121094,2023-09-30,98.72177
0,-74.57500457763672,5.974998474121094,2023-10-31,239.35083
0,-74.57500457763672,5.974998474121094,2023-11-30,239.98912
0,-74.57500457763672,5.974998474121094,2023-12-31,191.75232
0,-74.57500457763672,6.125,2023-09-30,102.873795
0,-74.57500457763672,6.125,2023-10-31,284.4884
0,-74.57500457763672,6.125,2023-11-30,235.61151
0,-74.57500457763672,6.125,2023-12-31,200.20451
0,-74.57500457763672,6.174999237060547,2023-09-30,88.37049
0,-74.57500457763672,6.174999237060547,2023-10-31,295.73245
0,-74.57500457763672,6.174999237060547,2023-11-30,240.93498
0,-74.57500457763672,6.174999237060547,2023-12-31,213.89189
0,-74.5250015258789,5.824996948242188,2023-09-30,87.22119
0,-74.5250015258789,5.824996948242188,2023-10-31,227.2381
0,-74.5250015258789,5.824996948242188,2023-11-30,188.57678
0,-74.5250015258789,5.824996948242188,2023-12-31,217.95277
0,-74.5250015258789,5.875,2023-09-30,74.40009
0,-74.5250015258789,5.875,2023-10-31,224.92607
0,-74.5250015258789,5.875,2023-11-30,197.7218
0,-74.5250015258789,5.875,2023-12-31,217.86853
0,-74.5250015258789,5.924999237060547,2023-09-30,80.010635
0,-74.5250015258789,5.924999237060547,2023-10-31,244.02766
0,-74.5250015258789,5.924999237060547,2023-11-30,225.22586
0,-74.5250015258789,5.924999237060547,2023-12-31,201.62447
0,-74.5250015258789,5.974998474121094,2023-09-30,108.9162
0,-74.5250015258789,5.974998474121094,2023-10-31,234.51926
0,-74.5250015258789,5.974998474121094,2023-11-30,232.00928
0,-74.5250015258789,5.974998474121094,2023-12-31,207.24356
0,-74.5250015258789,6.024997711181641,2023-09-30,88.58377
0,-74.5250015258789,6.024997711181641,2023-10-31,238.6377
0,-74.5250015258789,6.024997711181641,2023-11-30,212.12543
0,-74.5250015258789,6.024997711181641,2023-12-31,193.92009
0,-74.5250015258789,6.074996948242188,2023-09-30,99.539154
0,-74.5250015258789,6.074996948242188,2023-10-31,245.65251
0,-74.5250015258789,6.074996948242188,2023-11-30,208.68388
0,-74.5250015258789,6.074996948242188,2023-12-31,217.1839
0,-74.5250015258789,6.125,2023-09-30,107.22026
0,-74.5250015258789,6.125,2023-10-31,268.94562
0,-74.5250015258789,6.125,2023-11-30,193.87231
0,-74.5250015258789,6.125,2023-12-31,227.58298
0,-74.5250015258789,6.174999237060547,2023-09-30,106.769646
0,-74.5250015258789,6.174999237060547,2023-10-31,271.0462
0,-74.5250015258789,6.174999237060547,2023-11-30,227.29279
0,-74.5250015258789,6.174999237060547,2023-12-31,225.82434
0,-74.5250015258789,6.224998474121094,2023-09-30,89.335724
0,-74.5250015258789,6.224998474121094,2023-10-31,288.17862
0,-74.5250015258789,6.224998474121094,2023-11-30,262.45078
0,-74.5250015258789,6.224998474121094,2023-12-31,233.09325
0,-74.47500610351562,5.824996948242188,2023-09-30,97.99293
0,-74.47500610351562,5.824996948242188,2023-10-31,197.61508
0,-74.47500610351562,5.824996948242188,2023-11-30,183.28282
0,-74.47500610351562,5.824996948242188,2023-12-31,224.22563
0,-74.47500610351562,5.875,2023-09-30,83.82143
0,-74.47500610351562,5.875,2023-10-31,205.35045
0,-74.47500610351562,5.875,2023-11-30,196.63847
0,-74.47500610351562,5.875,2023-12-31,246.7324
0,-74.47500610351562,5.924999237060547,2023-09-30,86.36761
0,-74.47500610351562,5.924999237060547,2023-10-31,224.3259
0,-74.47500610351562,5.924999237060547,2023-11-30,204.69868
0,-74.47500610351562,5.924999237060547,2023-12-31,224.01797
0,-74.47500610351562,5.974998474121094,2023-09-30,90.95551
0,-74.47500610351562,5.974998474121094,2023-10-31,209.10057
0,-74.47500610351562,5.974998474121094,2023-11-30,216.09766
0,-74.47500610351562,5.974998474121094,2023-12-31,227.39275
0,-74.47500610351562,6.024997711181641,2023-09-30,115.60176
0,-74.47500610351562,6.024997711181641,2023-10-31,234.18686
0,-74.47500610351562,6.024997711181641,2023-11-30,169.08333
0,-74.47500610351562,6.024997711181641,2023-12-31,225.13959
0,-74.47500610351562,6.074996948242188,2023-09-30,99.9001
0,-74.47500610351562,6.074996948242188,2023-10-31,257.87546
0,-74.47500610351562,6.074996948242188,2023-11-30,191.76025
0,-74.47500610351562,6.074996948242188,2023-12-31,223.70143
0,-74.47500610351562,6.125,2023-09-30,121.38043
0,-74.47500610351562,6.125,2023-10-31,232.08423
0,-74.47500610351562,6.125,2023-11-30,226.01085
0,-74.47500610351562,6.125,2023-12-31,239.9294
