,longitude,latitude,time,predicted_precip
0,-74.62500762939453,5.774997711181641,2023-09-30,77.31015
0,-74.62500762939453,5.774997711181641,2023-10-31,206.002
0,-74.62500762939453,5.774997711181641,2023-11-30,190.98888
0,-74.62500762939453,5.774997711181641,2023-12-31,191.11345
0,-74.62500762939453,5.774997711181641,2024-01-31,371.52487
0,-74.62500762939453,5.774997711181641,2024-02-29,332.325
0,-74.62500762939453,5.774997711181641,2024-03-31,332.1417
0,-74.62500762939453,5.774997711181641,2024-04-30,137.99683
0,-74.62500762939453,5.774997711181641,2024-05-31,155.43623
0,-74.62500762939453,5.774997711181641,2024-06-30,123.66952
0,-74.62500762939453,5.774997711181641,2024-07-31,410.79263
0,-74.62500762939453,5.774997711181641,2024-08-31,536.83765
0,-74.62500762939453,5.824996948242188,2023-09-30,86.025116
0,-74.62500762939453,5.824996948242188,2023-10-31,230.72087
0,-74.62500762939453,5.824996948242188,2023-11-30,185.97218
0,-74.62500762939453,5.824996948242188,2023-12-31,243.21767
0,-74.62500762939453,5.824996948242188,2024-01-31,378.6704
0,-74.62500762939453,5.824996948242188,2024-02-29,380.4257
0,-74.62500762939453,5.824996948242188,2024-03-31,312.87228
0,-74.62500762939453,5.824996948242188,2024-04-30,141.05368
0,-74.62500762939453,5.824996948242188,2024-05-31,158.1655
0,-74.62500762939453,5.824996948242188,2024-06-30,121.49921
0,-74.62500762939453,5.824996948242188,2024-07-31,428.76163
0,-74.62500762939453,5.824996948242188,2024-08-31,549.0807
0,-74.62500762939453,5.875,2023-09-30,86.56965
0,-74.62500762939453,5.875,2023-10-31,235.00131
0,-74.62500762939453,5.875,2023-11-30,217.97653
0,-74.62500762939453,5.875,2023-12-31,231.76613
0,-74.62500762939453,5.875,2024-01-31,394.27667
0,-74.62500762939453,5.875,2024-02-29,351.39255
0,-74.62500762939453,5.875,2024-03-31,302.7444
0,-74.62500762939453,5.875,2024-04-30,146.25941
0,-74.62500762939453,5.875,2024-05-31,179.96451
0,-74.62500762939453,5.875,2024-06-30,121.0077
0,-74.62500762939453,5.875,2024-07-31,399.17346
0,-74.62500762939453,5.875,2024-08-31,544.76776
0,-74.57500457763672,5.774997711181641,2023-09-30,80.67457
0,-74.57500457763672,5.774997711181641,2023-10-31,189.20108
